original order,Case Number,Year,Country,Activity,Sex,Age,Fatal,Species
6127,2017.02.11,2017,USA,Swimming,M,22,N,Unknown/Other
6126,2017.02.06.b,2017,BRAZIL,Other,F,0,N,Lemon shark
6125,2017.02.06.a,2017,SOUTH AFRICA,Fishing,M,0,N,Tiger shark
6124,2017.02.01.b,2017,USA,Other,Unknown,0,N,White shark
6123,2017.02.01.a,2017,BAHAMAS,Diving,M,37,N,Reef shark
6122,2017.01.24,2017,BRAZIL,Swimming,M,21,N,Unknown/Other
6121,2017.01.22,2017,USA,Other,M,15,N,Unknown/Other
6120,2017.01.21,2017,AUSTRALIA,Diving,M,55,N,Bull shark
6119,2017.01.13.b,2017,AUSTRALIA,Swimming,M,57,N,Unknown/Other
6118,2017.01.13.a,2017,USA,Other,M,0,N,Unknown/Other
6117,2017.01.09,2017,INDONESIA,Surfing,M,48,N,Bull shark
6116,2017.01.08.R,0,AUSTRALIA,Fishing,M,35,UNKNOWN,Bull shark
6115,2017.01.05,2017,USA,Swimming,M,47,N,Unknown/Other
6113,2016.12.27,2016,USA,Surfing,M,16,N,Unknown/Other
6112,2016.12.24,2016,AUSTRALIA,Swimming,F,0,N,Unknown/Other
6111,2016.12.19,2016,SOUTH AFRICA,Surfing,M,55,N,White shark
6110,2016.12.14,2016,AUSTRALIA,Diving,M,61,N,Unknown/Other
6109,2016.12.11.b,2016,FRENCH POLYNESIA,Fishing,M,40,N,Unknown/Other
6107,2016.12.06,2016,AUSTRALIA,Fishing,M,20,N,Wobbegong shark
6106,2016.12.01,2016,AUSTRALIA,Surfing,M,65,N,White shark
6105,2016.11.28,2016,AUSTRALIA,Fishing,M,73,N,Sevengill shark
6104,2016.11.14,2016,USA,Swimming,F,58,N,Tiger shark
6103,2016.10.30,2016,USA,Surfing,M,41,N,Unknown/Other
6102,2016.10.29,2016,USA,Surfing,M,42,N,Unknown/Other
6101,2016.10.24,2016,AUSTRALIA,Surfing,M,36,N,Unknown/Other
6100,2016.10.21,2016,USA,Surfing,M,36,N,Unknown/Other
6099,2016.10.15,2016,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6098,2016.10.14,2016,USA,Swimming,F,66,N,Unknown/Other
6097,2016.10.13.R,2016,MEXICO,Diving,M,0,UNKNOWN,White shark
6096,2016.10.12,2016,AUSTRALIA,Surfing,M,25,N,Unknown/Other
6095,2016.10.10,2016,USA,Surfing,M,29,N,Unknown/Other
6094,2016.10.02,2016,USA,Surfing,M,21,N,Unknown/Other
6093,2016.10.01,2016,USA,Surfing,M,32,N,Unknown/Other
6092,2016.09.26,2016,AUSTRALIA,Surfing,M,17,N,White shark
6091,2016.09.18.c,2016,USA,Surfing,M,16,N,Unknown/Other
6090,2016.09.18.b,2016,USA,Surfing,M,36,N,Unknown/Other
6089,2016.09.18.a,2016,USA,Surfing,M,43,N,Unknown/Other
6088,2016.09.17.b,2016,USA,Surfing,M,43,N,Unknown/Other
6087,2016.09.17.a,2016,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6086,2016.09.15,2016,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6085,2016.09.15.R,2016,AUSTRALIA,Fishing,Unknown,0,N,Unknown/Other
6084,2016.09.11,2016,USA,Swimming,M,65,N,Unknown/Other
6083,2016.09.07,2016,USA,Swimming,F,51,N,Tiger shark
6082,2016.09.06,2016,NEW CALEDONIA,Surfing,M,50,Y,Unknown/Other
6081,2016.09.05.b,2016,USA,Surfing,F,12,N,Unknown/Other
6080,2016.09.05.a,2016,AUSTRALIA,Surfing,M,0,N,Unknown/Other
6079,2016.09.04,2016,USA,Surfing,M,9,N,Unknown/Other
6078,2016.09.01,2016,USA,Fishing,M,22,N,White shark
6077,2016.09.00,2016,MEXICO,Diving,Unknown,0,UNKNOWN,Unknown/Other
6076,2016.08.29.b,2016,USA,Surfing,M,25,N,Bull shark
6075,2016.08.29.a,2016,USA,Surfing,M,37,N,Unknown/Other
6074,2016.08.27,2016,REUNION,Surfing,M,20,N,Bull shark
6073,2016.08.25,2016,USA,Swimming,M,49,N,Unknown/Other
6072,2016.08.07,2016,BAHAMAS,Swimming,M,15,N,Unknown/Other
6071,2016.08.06,2016,USA,Other,M,21,N,Tiger shark
6070,2016.08.04,2016,USA,Surfing,M,22,N,Blacktip shark
6069,2016.07.29,2016,SPAIN,Swimming,M,40,N,Blue shark
6068,2016.07.28.R,2016,CHINA,Swimming,M,72,N,Unknown/Other
6067,2016.07.28,2016,AUSTRALIA,Kayaking,M,0,N,White shark
6066,2016.07.27,2016,USA,Other,M,43,N,Nurse shark
6065,2016.07.26,2016,AUSTRALIA,Surfing,M,18,N,Unknown/Other
6064,2016.07.24,2016,JAPAN,Surfing,M,29,N,Unknown/Other
6063,2016.07.23.b,2016,AUSTRALIA,Surfing,M,36,N,Unknown/Other
6062,2016.07.23.a,2016,BAHAMAS,Fishing,M,0,N,Bull shark
6061,2016.07.20,2016,AUSTRALIA,Fishing,M,31,N,Reef shark
6060,2016.07.17,2016,USA,Fishing,Unknown,0,N,Tiger shark
6059,2016.07.16.b,2016,USA,Surfing,F,9,N,Unknown/Other
6058,2016.07.16.a,2016,USA,Other,F,11,N,Unknown/Other
6057,2016.07.15.b,2016,USA,Surfing,M,61,N,White shark
6056,2016.07.15.a,2016,USA,Swimming,M,0,N,Unknown/Other
6055,2016.07.14.R,2016,BAHAMAS,Diving,M,0,N,Lemon shark
6054,2016.07.08.R,2016,SPAIN,Swimming,F,10,N,Angel shark
6053,2016.07.08,2016,USA,Fishing,M,0,N,White shark
6052,2016.07.07.b,2016,USA,Fishing,M,59,N,Unknown/Other
6051,2016.07.07.a,2016,USA,Fishing,M,0,N,White shark
6050,2016.07.06,2016,USA,Swimming,F,42,N,Unknown/Other
6049,2016.07.04,2016,AUSTRALIA,Fishing,M,34,N,Nurse shark
6048,2016.06.27,2016,USA,Other,M,35,N,Unknown/Other
6047,2016.06.25,2016,USA,Surfing,M,11,N,Unknown/Other
6046,2016.06.24,2016,COLUMBIA,Diving,M,59,N,Reef shark
6045,2016.06.23,2016,SOUTH AFRICA,Fishing,M,43,N,White shark
6044,2016.06.21.b,2016,USA,Swimming,M,42,N,Unknown/Other
6043,2016.06.21.a,2016,USA,Swimming,M,0,N,Unknown/Other
6042,2016.06.15.b,2016,USA,Surfing,M,0,N,Unknown/Other
6041,2016.06.15.a,2016,AUSTRALIA,Fishing,M,19,N,Unknown/Other
6040,2016.06.14,2016,USA,Swimming,F,6,N,Unknown/Other
6039,2016.06.11,2016,USA,Swimming,M,19,N,Unknown/Other
6038,2016.06.07,2016,USA,Surfing,M,27,UNKNOWN,Unknown/Other
6037,2016.06.05.b,2016,USA,Swimming,M,64,N,Unknown/Other
6036,2016.06.05.a,2016,AUSTRALIA,Diving,F,60,Y,Unknown/Other
6035,2016.06.04,2016,EGYPT,Swimming,M,23,N,Mako shark
6034,2016.06.02.b,2016,AUSTRALIA,Fishing,M,0,UNKNOWN,Bronze whaler shark
6033,2016.06.02.a,2016,NEW CALEDONIA,Surfing,M,0,N,Unknown/Other
6032,2016.05.31,2016,AUSTRALIA,Surfing,M,29,Y,White shark
6031,2016.05.29.b,2016,USA,Swimming,F,52,N,Unknown/Other
6030,2016.05.29.a,2016,USA,Swimming,M,13,N,Unknown/Other
6029,2016.05.22,2016,USA,Swimming,F,57,N,Unknown/Other
6028,2016.05.21.b,2016,USA,Swimming,F,22,N,Bull shark
6027,2016.05.21.a,2016,USA,Swimming,F,11,N,Unknown/Other
6026,2016.05.18,2016,USA,Swimming,M,48,N,Blacktip shark
6025,2016.05.15,2016,USA,Other,F,23,N,Nurse shark
6024,2016.05.03,2016,USA,Swimming,M,59,N,Unknown/Other
6023,2016.05.02,2016,NEW ZEALAND,Fishing,M,39,N,Mako shark
6022,2016.04.25,2016,INDONESIA,Surfing,M,24,N,Bull shark
6021,2016.04.23,2016,USA,Surfing,M,15,N,Unknown/Other
6020,2016.04.22,2016,SOUTH AFRICA,Surfing,M,0,N,White shark
6019,2016.04.19,2016,AUSTRALIA,Swimming,M,12,N,Wobbegong shark
6018,2016.04.18.b,2016,FRENCH POLYNESIA,Fishing,M,22,UNKNOWN,Reef shark
6017,2016.04.18.a,2016,FRENCH POLYNESIA,Fishing,M,26,N,Reef shark
6016,2016.04.13,2016,USA,Fishing,M,26,N,Bull shark
6015,2016.04.09,2016,NEW CALEDONIA,Swimming,F,69,Y,Tiger shark
6013,2016.04.07.b,2016,USA,Fishing,M,34,N,Unknown/Other
6012,2016.04.07.a,2016,USA,Other,M,0,UNKNOWN,Unknown/Other
6011,2016.03.31,2016,USA,Swimming,F,46,N,Unknown/Other
6010,2016.03.30,2016,AUSTRALIA,Surfing,M,22,N,Unknown/Other
6008,2016.03.28.a,2016,AUSTRALIA,Surfing,M,41,N,Unknown/Other
6007,2016.03.26,2016,BAHAMAS,Other,M,9,N,Nurse shark
6005,2016.03.11,2016,USA,Surfing,M,19,N,Unknown/Other
6004,2016.03.10,2016,FIJI,Diving,M,45,Y,Unknown/Other
6003,2016.03.04,2016,USA,Other,M,12,N,Unknown/Other
6002,2016.03.03.R,2016,AUSTRALIA,Fishing,M,0,N,Unknown/Other
6001,2016.03.02,2016,BRAZIL,Swimming,M,41,N,Tiger shark
6000,2016.02.22,2016,NEW CALEDONIA,Surfing,M,21,N,Unknown/Other
5999,2016.02.19,2016,NEW CALEDONIA,Fishing,M,31,N,Unknown/Other
5998,2016.02.12,2016,DOMINICAN REPUBLIC,Swimming,F,0,N,Unknown/Other
5995,2016.02.05,2016,AUSTRALIA,Swimming,F,45,N,Unknown/Other
5994,2016.02.04,2016,AUSTRALIA,Surfing,M,40,N,Unknown/Other
5993,2016.02.02,2016,BRAZIL,Swimming,M,41,N,Tiger shark
5992,2016.01.29,2016,SOUTH AFRICA,Fishing,M,0,N,Unknown/Other
5991,2016.01.28,2016,USA,Surfing,M,0,N,Reef shark
5990,2016.01.25,2016,USA,Surfing,F,15,N,Unknown/Other
5989,2016.01.24.b,2016,USA,Fishing,M,0,N,Bull shark
5988,2016.01.24.a,2016,UNITED ARAB EMIRATES,Fishing,M,0,N,Mako shark
5987,2016.01.23,2016,USA,Surfing,M,48,N,Tiger shark
5986,2016.01.11.R,2016,AUSTRALIA,Surfing,M,0,N,Wobbegong shark
5985,2016.01.05,2016,AUSTRALIA,Swimming,M,11,N,Blacktip shark
5984,2016.01.02,2016,AUSTRALIA,Fishing,M,31,N,Unknown/Other
5983,2015.12.26,2015,SOUTH AFRICA,Fishing,M,0,N,White shark
5982,2015.12.25,2015,SPAIN,Swimming,F,38,N,Unknown/Other
5981,2015.12.22,2015,USA,Surfing,M,71,N,Unknown/Other
5980,2015.12.21.b,2015,AUSTRALIA,Surfing,M,43,N,Bronze whaler shark
5979,2015.12.21.a,2015,BRAZIL,Diving,M,32,N,Tiger shark
5978,2015.12.19,2015,ARUBA,Shipwreck,M,58,Y,Unknown/Other
5977,2015.12.13,2015,AUSTRALIA,Fishing,Unknown,0,N,White shark
5976,2015.12.11,2015,BAHAMAS,Fishing,M,26,N,Bull shark
5975,2015.12.08,2015,SOUTH AFRICA,Swimming,F,22,N,Unknown/Other
5974,2015.11.20,2015,ECUADOR,Swimming,M,55,N,Galapagos shark
5973,2015.11.16,2015,USA,Surfing,M,0,N,Unknown/Other
5972,2015.11.15.b,2015,USA,Swimming,F,0,N,Unknown/Other
5971,2015.11.15.a,2015,USA,Surfing,M,28,N,Spinner shark
5970,2015.11.10,2015,AUSTRALIA,Surfing,M,20,N,Bull shark
5968,2015.11.03,2015,USA,Swimming,M,54,N,Unknown/Other
5967,2015.11.01.b,2015,USA,Swimming,F,28,N,Unknown/Other
5966,2015.11.01.a,2015,MOZAMBIQUE,Fishing,M,19,N,Unknown/Other
5965,2015.10.30,2015,AUSTRALIA,Fishing,M,50,N,Unknown/Other
5964,2015.10.28.a,2015,USA,Surfing,M,10,N,Unknown/Other
5963,2015.10.25,2015,SOUTH AFRICA,Surfing,M,42,N,White shark
5962,2015.10.21,2015,USA,Surfing,M,21,N,Unknown/Other
5961,2015.10.19,2015,USA,Surfing,M,21,N,Spinner shark
5960,2015.10.17.c,2015,MOZAMBIQUE,Fishing,F,35,Y,Unknown/Other
5958,2015.10.17.a,2015,USA,Swimming,M,44,N,Tiger shark
5957,2015.10.13,2015,USA,Fishing,M,0,N,Unknown/Other
5956,2015.10.09.b,2015,USA,Surfing,F,9,N,Unknown/Other
5955,2015.10.09.a,2015,USA,Surfing,M,25,N,Tiger shark
5954,2015.10.08,2015,MOZAMBIQUE,Fishing,M,0,N,Unknown/Other
5953,2015.10.07,2015,AUSTRALIA,Surfing,M,18,N,Unknown/Other
5952,2015.10.05.b,2015,USA,Surfing,M,22,N,Unknown/Other
5951,2015.10.05.a,2015,USA,Swimming,M,13,N,Unknown/Other
5950,2015.10.04,2015,USA,Surfing,M,14,N,Blacktip shark
5949,2015.09.29,2015,USA,Surfing,M,22,N,Blacktip shark
5948,2015.09.26,2015,AUSTRALIA,Swimming,F,7,N,Unknown/Other
5947,2015.09.24,2015,USA,Fishing,M,0,N,White shark
5946,2015.09.20.d,2015,USA,Surfing,M,14,N,Unknown/Other
5945,2015.09.20.c,2015,USA,Fishing,M,27,N,Tiger shark
5944,2015.09.20.b,2015,USA,Swimming,M,12,N,Unknown/Other
5943,2015.09.20.a,2015,USA,Other,M,16,N,Unknown/Other
5942,2015.09.19,2015,USA,Fishing,M,0,N,Hammerhead shark
5941,2015.09.18,2015,USA,Swimming,M,0,N,Unknown/Other
5940,2015.09.17,2015,USA,Surfing,M,20,N,Unknown/Other
5939,2015.09.08,2015,AUSTRALIA,Surfing,M,42,N,Unknown/Other
5938,2015.09.06,2015,USA,Surfing,F,50,N,White shark
5937,2015.09.05,2015,USA,Fishing,M,29,N,Hammerhead shark
5936,2015.09.04,2015,AUSTRALIA,Surfing,M,62,N,White shark
5935,2015.09.03,2015,USA,Other,M,0,N,Unknown/Other
5934,2015.09.01,2015,THAILAND,Swimming,F,37,N,Unknown/Other
5933,2015.09.00,2015,FIJI,Fishing,M,0,N,Tiger shark
5932,2015.08.29.b,2015,USA,Surfing,F,54,N,White shark
5931,2015.08.29.a,2015,USA,Surfing,M,21,N,White shark
5929,2015.08.22.a,2015,AUSTRALIA,Surfing,M,38,N,Unknown/Other
5928,2015.08.20,2015,USA,Surfing,M,15,N,Unknown/Other
5927,2015.08.19,2015,USA,Swimming,F,10,N,Unknown/Other
5926,2015.08.18.b,2015,USA,Fishing,M,22,N,White shark
5924,2015.08.10,2015,USA,Fishing,M,57,N,Hammerhead shark
5923,2015.07.31,2015,AUSTRALIA,Surfing,M,52,N,White shark
5922,2015.07.28,2015,COSTA RICA,Surfing,M,47,N,Unknown/Other
