Case Number,Date,Year,Country,Area,Location,Injury,Fatal (Y/N),Month,Hemisphere,Season,year_by_50
1849.12.01,01-Dec-1849,1849,AUSTRALIA,New South Wales,"Woolloomooloo, Sydney Harbor (Estuary)",FATAL,Y,12,South,Summer,1850
1849.12.09,09-Dec-1849,1849,AUSTRALIA,New South Wales,Sydney Harbor,FATAL,Y,12,South,Summer,1850
1849.01.27,27-Jan-1849,1849,AUSTRALIA,New South Wales,Sydney,Torso bitten but may have been postmortem,,1,South,Summer,1850
1850.10.21,21-Oct-1850,1850,USA,Hawaii,Not applicable,FATAL,Y,10,North,Autumn,1850
1851.06.16.R,Reported 16-Jun-1851,1851,MEXICO,Oaxaca,Tehuantepec Harbor,FATAL,Y,6,North,Summer,1900
1852.10.23.R,Reported 23-Oct-1852,1852,AUSTRALIA,Between Australia & USA,Not applicable,Foot bitten by hooked shark PROVOKED INCIDENT,N,10,South,Spring,1900
1852.12.19,19-Dec-1852,1852,AUSTRALIA,New South Wales,"Clark's Island, Sydney Harbor",Shark involvement prior to death was not confirmed,,12,South,Summer,1900
1852.10.09.R,Reported 09-Oct-1852,1852,AUSTRALIA,New South Wales,Coalcliff,FATAL,Y,10,South,Spring,1900
1852.05.24,24-May-1852,1852,SOUTH AFRICA,KwaZulu-Natal,Durban Bay,FATAL,Y,5,South,Autumn,1900
1852.07.28,28-Jul-1952,1852,NORTH ATLANTIC OCEAN,Not applicable,Not applicable,Death preceded shark involvement,,7,North,Summer,1900
1852.02.26,26-Feb-1852,1852,SOUTH AFRICA,Western Cape Province,Danger Point,"FATAL. All of the women & children on board survived, but many of the 445 men that perished were taken by sharks",Y,2,South,Summer,1900
1852.08.07,07-Aug-1852,1852,TONGA,Tongatapu,Not applicable,FATAL,Y,8,South,Winter,1900
1852.01.22,"""Anniversary Day"" 22-Jan-1850 or 1852",1852,NEW ZEALAND,North Island,Wellington Harbor,"FATAL, posterior thigh bared to femur, kneecap lacerated ",Y,1,South,Summer,1900
"1853,94.29",29-Apr-1853,1853,GREECE,Corfu ,Not applicable,Leg severed at knee,N,4,North,Spring,1900
1853.07.13.R,Reported 13-Jul-1853,1853,USA,South Carolina,"Charleston Harbor, Charleston County",FATAL,Y,7,North,Summer,1900
1853.09.28,28-Sept-1853,1853,USA,North Carolina,"Morehead, Carteret County",No injury. Copper breastplate & harness bitten,N,9,North,Autumn,1900
1853.11.08,08-Nov-1853,1853,AUSTRALIA,New South Wales,Not applicable,Leg bitten,N,11,South,Spring,1900
1855.11.11,11-Nov-1855,1855,AUSTRALIA,Victoria,Melbourne,FATAL,Y,11,South,Spring,1900
1855.09.30,30-Sep-1855,1855,USA,North Carolina,Cape Hatteras,Foot bitten,N,9,North,Autumn,1900
1855.03.28,28-Mar-1855,1855,AUSTRALIA,South Australia,Port Wakefield,FATAL,Y,3,South,Autumn,1900
1855.02.12.R,Reported 12-Feb-1855,1855,SOLOMON ISLANDS,Makira-Ulawa Province,Makira Island (Formerly San Cristobal),FATAL,Y,2,South,Summer,1900
1855.04.09.R,Reported 09-Apr-1855,1855,AUSTRALIA,South Australia,Port Wakefield,FATAL,Y,4,South,Autumn,1900
1856.06.21.R,Reported 21-Jun-1856,1856,UK,Isle of Wight,Colwell Bay,Survived,Y,6,North,Summer,1900
1856.11.25.R,Reported 25-Nov-1856,1856,FIJI,Not applicable,Not applicable,FATAL,Y,11,South,Spring,1900
1856.02.06,06-Feb-1856,1856,AUSTRALIA,Victoria,Point Henry,Severe bite to thigh. Not known if he survived,UNKNOWN,2,South,Summer,1900
1857.05.05,05-May-1857,1857,USA,Florida,"Cape Sable, Monroe County",FATAL,Y,5,North,Spring,1900
1858.08.23,23-Aug-1858,1858,USA,New York ,"Staten Island, Richmond County",Thought to have been taken by a shark/s. Bodies not  recovered,,8,North,Summer,1900
1858.01.09.R,Reported 09-Jan-1858,1858,TONGA,Vava'u,Not applicable,FATAL,Y,1,South,Summer,1900
1858.03.14,14-Mar-1858,1858,AUSTRALIA,Victoria,Hobson Bay,FATAL,Y,3,South,Autumn,1900
1858.04.04,04-Apr-1858,1858,VENEZUELA,Not applicable,Rocky Bay,"Leg bitten, surgically amputated",N,4,North,Spring,1900
1858.08.17,17-Aug-1858,1858,USA,New York ,"Staten Island, Richmond County",Thought to have been taken by a shark/s. Body not  recovered,,8,North,Summer,1900
1859.03.16,16-Mar-1859,1859,USA,Hawaii,Off Kawaihae,FATAL,Y,3,North,Spring,1900
1860.03.27,27-Mar-1860,1860,COOK ISLANDS,Mangaia Island,Not applicable,Probable drowning ,Y,3,South,Autumn,1900
1860.08.01,01-Aug-1860,1860,USA,New York,Brooklyn,Toe severed,N,8,North,Summer,1900
1860.12.26,26-Dec-1860,1860,AUSTRALIA,New South Wales,"The Domain, Sydney",Lacerations to leg,N,12,South,Summer,1900
1860.03.11,11-Mar-1860,1860,THE BAHAMAS,New Providence Island,Nassau,FATAL,Y,3,North,Spring,1900
1861.01.15.R,Reported 15-Jan-1861,1861,AUSTRALIA,Queensland,Cleveland,Lacerations to fingers,N,1,South,Summer,1900
1861.02.12.R,Reported 12-Feb-1861,1861,EQUATORIAL GUINEA,Fernando Po Island,Not applicable,FATAL,Y,2,North,Winter,1900
1861.09.25.R,Reported 25-Sep-1861,1861,CUBA,Not applicable,60 miles off Trinidad de Cuba,Lacerations,N,9,North,Autumn,1900
1861.11.10,10-Nov-1861,1861,SINGAPORE,Not applicable,Not applicable,FATAL,Y,11,North,Autumn,1900
1862.12.22,22-Dec-1862,1862,NEW ZEALAND,North Island,"Soldier's Point, Brick Bay, Auckland",Right thigh and left foot severely bitten,N,12,South,Summer,1900
1862.12.19.R,Reported 19-Dec-1862,1862,AUSTRALIA,Queensland,Brisbane River,FATAL,Y,12,South,Summer,1900
1862.12.04,04-Dec-1862,1862,NEW ZEALAND,South Island,Lyttleton?,,,12,South,Summer,1900
1862.08.15.R,Reported 15-Aug-1862,1862,SPAIN,Not applicable,A Spanish port,Survived,N,8,North,Summer,1900
1862.07.13,13-Jul-1862,1862,SPAIN,Cádiz,Off Algeciras,FATAL,Y,7,North,Summer,1900
1862.07.25,25-Jul-1862,1862,SPAIN,Malaga,San Andres Beach,FATAL,Y,7,North,Summer,1900
1862.07.14,14-Jul-1862,1862,SPAIN,Cádiz,Off Algeciras,FATAL,Y,7,North,Summer,1900
1862.06.03,03-Jun-1862,1862,SOUTH AFRICA,KwaZulu-Natal,Durban Harbor,"""Very severe wounds""",N,6,South,Winter,1900
1862.05.05,05-May-1862,1862,SOUTH AFRICA,KwaZulu-Natal,Durban,Lacerations,N,5,South,Autumn,1900
1862.08.02.R,Reported 02-Aug-1862,1862,SPAIN,Malaga,Fuengirola,Possible drowning and scavenging,,8,North,Summer,1900
1863.12.14,14-Dec-1863,1863,GUINEA,Conakry Region,Ile de Loss,"FATAL ""Most of leg torn away . . .  Buried on Island of DeLoss on the west coast of Africa""",Y,12,North,Winter,1900
1863.09.13.R,Reported 13-Sep-1863,1863,USA,South Carolina,"Stono Inlet, near Charleston, Charleston County",Thrown into the air & bruised,N,9,North,Autumn,1900
1863.01.10,10-Jan-1863,1863,AUSTRALIA,New South Wales,"""Bellynahinch"" on the Manning River",FATAL,Y,1,South,Summer,1900
1863.03.05,05-Mar-1863,1863,AUSTRALIA,Victoria,Brighton,Lacerations to right torso & ankle,N,3,South,Autumn,1900
1863.02.05,05-Feb-1863,1863,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban",3.2 m [10.5'] shark caught 9 days later contained human remains thought to be those of Canham,,2,South,Summer,1900
1863.07.09,Reported 09-Jul-1863,1863,USA,Hawaii,Palama,Hand severed by noosed shark PROVOKED INCIDENT,N,7,North,Summer,1900
1864.01.02,02-Jan-1864,1864,NEW ZEALAND,North Island,"Brickfield Bay, Auckland Harbour",Minor injury to hip,N,1,South,Summer,1900
1864.01.16.R,Reported 16-Jan-1864,1864,NEW ZEALAND,Foveaux Strait,Stewart Island,FATAL,Y,1,South,Summer,1900
1864.01.27.R,Reported 27-Jan-1864,1864,PANAMA,Colón Province,Aspinwall (Colón),FATAL,Y,1,North,Winter,1900
1864.04.09,09-Apr-1864,1864,CHINA,Not applicable,Macao Harbor,No injury,,4,North,Spring,1900
1864.07.25,25-Jul-1864,1864,SPAIN,Eastern Catalona,Badalona,FATAL,Y,7,North,Summer,1900
1864.08.12,12-Aug-1864,1864,USA,New York,Mahattan,Left thigh severely bitten,N,8,North,Summer,1900
1864.09.18.R,Reported 18-Sep-1864,1864,FRANCE,Alpes Maritime,Antibes,Knee bitten PROVOKED INCIDENT,N,9,North,Autumn,1900
1864.10.02,02-Oct-1864,1864,USA,North Carolina,"Cedar Island, Carteret County",FATAL,Y,10,North,Autumn,1900
1865.09.02,02-Sep-1865,1865,USA,New York,"Greenport Sound, Long Island",Multiple lacerations,N,9,North,Autumn,1900
1865.03.01.R,Reported 01-Mar-1865,1865,SOUTH AFRICA,Western Cape Province,St. Helena Bay,"FATAL: Boat capsized, sharks took fishermen",Y,3,South,Autumn,1900
1865.07.14.R,Reported 14-Jul-1865,1865,USA,Texas,Brazos,FATAL,Y,7,North,Summer,1900
1866.04.24.R,Reported 24-Apr-1866,1866,AUSTRALIA,Western Australia,Off De Grey river,Thought to have been taken by a shark. Body was not recovered,,4,South,Autumn,1900
1866.07.09.R,Reported 09-Jul-1866,1866,USA,Alabama,Mobile Bay,FATAL,Y,7,North,Summer,1900
1867.01.26.R,Reported 26-Jan-1867,1867,AUSTRALIA,Victoria,Queenscliff,"No injury, shark bit oar of customs boat",N,1,South,Summer,1900
1867.06.26,26-Jun-1867,1867,CUBA,Villa Clara Province,Remedios,FATAL,Y,6,North,Summer,1900
1867.08.22.R,Reported 22-Aug-1867,1867,EGYPT,Not applicable,Port Said,FATAL,Y,8,North,Summer,1900
1868.09.01,01-Sep-1868,1868,ITALY,Adriatic Sea,Trieste,FATAL,Y,9,North,Autumn,1900
1868.05.13,13-May-1868,1868,INDIA,Hoogly River,Ghat,"FATAL, upper left thigh, groin & buttocks severely bitten, leg surgically amputated at the hip  ",Y,5,North,Spring,1900
1868.00.00.b,"Reported 24-Oct-1888, but took place around 1868",1868,AUSTRALIA,Torres Strait,South Aroo Island,FATAL,Y,10,South,Spring,1900
1868.01.04.R,Reported 04-Jan-1868,1868,AUSTRALIA,South Australia,Belfast (now Port Fairy),"No injury to occupants, shark's teeth embedded in keel",N,1,South,Summer,1900
1868.01.17,17-Jan-1868,1868,VIETNAM,Not applicable,Cohong,FATAL,Y,1,North,Winter,1900
1869.04.15.R,Reported 15-Apr-1869,1869,AUSTRALIA,South Australia,Cape Elizabeth,Foot bitten,N,4,South,Autumn,1900
1870.01.09,09-Jan-1870,1870,AUSTRALIA,Queensland,Brisbane River,Right thigh bitten,N,1,South,Summer,1900
1870.05.11,11-May-1870,1870,INDIA,"22ºN, 88ºE",Near Sobah Bazar,3 lacerated irregular wounds on anterior left thigh,N,5,North,Spring,1900
1870.05.18,18-May-1870,1870,INDIA,"22ºN, 88ºE","Hatkolah, Ghat,",4 irregular lacerated wounds on right arm,N,5,North,Spring,1900
1870.05.26.R,Reported 26-May-1870,1870,AUSTRALIA,Queensland,Moreton Island,bite to lower leg,N,5,South,Autumn,1900
1870.06.01,01-Jun-1870,1870,INDIA,West Bengal,"Hoogly River, Calcutta","Right foot & leg bitten, surgically amputated",N,6,North,Summer,1900
1870.06.19,19-Jun-1870,1870,INDIA,"22ºN, 88ºE","Calcutta, Hoogly River at  one of the ghats","Left arm bitten, developed gangrene, surgically amputated",N,6,North,Summer,1900
1870.07.27,27-Jul-1870,1870,USA,North Carolina,"Smithville (now Southport), Brunswick County",Foot bitten & toe severed,N,7,North,Summer,1900
1871.03.24,24-Mar-1871,1871,INDIA,"22ºN, 88ºE",Hoogly River at Multah,"FATAL, left thigh & buttock bitten, died of pneumonia 7 weeks later  ",Y,3,North,Spring,1900
1871.05.22.R,Reported 22-May-1871,1871,SRI LANKA,Eastern Province,Trincomalee,Severe laceration to thigh,N,5,North,Spring,1900
1871.08.29.R,Reported 29-Aug-1871,1871,USA,Hawaii,Not applicable,Limbs severed,N,8,North,Summer,1900
1871.12.11.R,Reported 11-Dec-1871,1871,AUSTRALIA,New South Wales,Hawkesbury River,Human remains recovered from 11' shark,,12,South,Summer,1900
1872.11.24,24-Nov-1872,1872,PORTUGAL,Not applicable,Not applicable,"No injury, but according to Fosdyk, captain & crew were killed by sharks",,11,North,Autumn,1900
1872.10.22,10-Oct-1872,1872,THE BAHAMAS,Abaco Islands,Not applicable,FATAL,Y,10,North,Autumn,1900
1872.11.30.R,Reported 30-Nov-1872,1872,INDIAN OCEAN,Not applicable,Not applicable,FATAL,Y,11,South,Spring,1900
1872.04.03.R,Reported 03-Apr-1872,1872,USA,Hawaii,Kawahae,"Thigh bitten, shark teeth embedded in canoe",N,4,North,Spring,1900
1872.01.28,28-Jan-1872,1872,Fiji,Lomaiviti Provine,"Levuka Point, Ovalau Island",Probable drowning,,1,South,Summer,1900
1872.08.07.R,Reported 07-Aug-1872,1872,CROATIA,Not applicable,Fiume,No injury,,8,North,Summer,1900
1872.02.26,26-Feb-1872,1872,AUSTRALIA,Queensland,Bramble Reef,"FATAL, some were taken by sharks",Y,2,South,Summer,1900
1873.07.28,28-Jul-1873,1873,USA,Maryland,Chester River,Leg severely bitten by netted shark. Lower leg surgically amputated PROVOKED INCIDENT,N,7,North,Summer,1900
1873.01.09.R,Reported 09-Jan-1873,1873,AUSTRALIA,Queensland,White Cliffs,Survived,N,1,South,Summer,1900
1873.06.09.R,Reported 09-Jun-1873,1873,AUSTRALIA,New South Wales,Newcastle ,FATAL,,6,South,Winter,1900
1874.01.09,09-Jan- 1874,1874,AUSTRALIA,New South Wales,"Darling Harbor, Sydney",Thigh  severely bitten,N,1,South,Summer,1900
1874.04.20.R,Reported 20-Apr-1874,1874,CANADA,Newfoundland,St. Pierre Bank ,Shark bit & tipped the dory,N,4,North,Spring,1900
1874.06.15.b.R,Reported 15-Jun-1874,1874,KIRIBATI,Gilbert Islands,Beru,FATAL,Y,6,North,Summer,1900
1876.06.18.R,Reported 18-Jun- 1874,1874,MEXICO,Veracruz ,"Tlacotalpan, Vera Cruz",FATAL,Y,6,North,Summer,1900
1874.07.15,15-Jul-1874,1874,USA,New York,Coney Island,Lacerations to groin,N,7,North,Summer,1900
1874.07.23,23-Jul-1874,1874,FRANCE,Not applicable,Not applicable,Shark and boat collided. No injury to occupants,N,7,North,Summer,1900
1874.11.14.R,14-Nov-1874,1874,CROATIA,Zadar County,"Lika-Senj, Pag Island","Shark damaged boat, but no injury to occupants",N,11,North,Autumn,1900
1874.11.21,21-Nov-1874,1874,AUSTRALIA,Queensland,Maryborough,Thigh bitten,N,11,South,Spring,1900
1874.07.15.R,Reported 15-Jul-1874,1874,USA,Hawaii,Waikiki,Thumb & thigh lacerated,N,7,North,Summer,1900
1875.01.20.R,Reported 20-Jan-1875,1875,AUSTRALIA,Queensland,Mary River,Forehead bitten,,1,South,Summer,1900
1875.03.03,03-Mar-1875,1875,NEW ZEALAND,North Island,Tauranga,FATAL,Y,3,South,Autumn,1900
1875.08.10,10-Aug-1875,1875,SOUTH AFRICA,KwaZulu-Natal,"Back Beach, Durban","Press reported that a 3 m shark  was caught with human remains in its gut, but  remains were those of a porpoise according to medical examiner",,8,South,Winter,1900
1875.11.27.R,Reported 27-Nov-1875,1875,AUSTRALIA,New South Wales,Clarence Heads,Foot severed at ankle,N,11,South,Spring,1900
1876.10.13.R,Reported 13-Oct-1876,1876,USA,New York,Not applicable,FATAL,Y,10,North,Autumn,1900
1876.09.07.R,Reported 07-Sep-1876,1876,GREECE,Cyclades archipelago,Between the islands of Tenos and Andros ,FATAL,Y,9,North,Autumn,1900
1876.05.14,14-May-1876,1876,AUSTRALIA,New South Wales,Sydney Harbour,FATAL,Y,5,South,Autumn,1900
1876.02.06,06-Feb-1876,1876,AUSTRALIA,Victoria,Albert Park in Port Phillip Bay,"FATAL, rescued by man on horseback, but died on the beach  ",Y,2,South,Summer,1900
1876.06.04.R,Reported 04-Jun-1876,1876,USA,Georgia,Cumberland Island,Leg bitten,N,6,North,Summer,1900
1877.12.15.R,Reported 15-Dec-1877,1877,FIJI,Not applicable,Not applicable,FATAL,Y,12,South,Summer,1900
1877.12.15,15-Dec-1877,1877,AUSTRALIA,New South Wales,"Peacock Point, Balmain, Sydney",Leg severely bitten & later surgically amputated,N,12,South,Summer,1900
1877.12.12,12-Dec-1877,1877,AUSTRALIA,New South Wales,Near Sydney,FATAL,Y,12,South,Summer,1900
1877.09.15,15-Sep-1877,1877,AUSTRALIA,New South Wales,Port Jackson,"No injury, pulled overboard by a shark that grabbed his coat",N,9,South,Spring,1900
1877.08.28.R,Reported 28-Aug-1877,1877,INDIAN OCEAN,Not applicable,Not applicable,Partial human remains found in 13' shark,,8,South,Winter,1900
1877.04.07, 07-Apr-1877,1877,AUSTRALIA,Tasmania,Smelting Works Bay near Hobart,Fingers injured by landed shark PROVOKED INCIDENT,N,4,South,Autumn,1900
1877.03.16,16-Mar-1877,1877,ITALY,Strait of Messina,Off Calabria,3 ribs broken by shark's tail,N,3,North,Spring,1900
1877.03.11, 11-Mar-1877,1877,FIJI,Viti Levu Island,"Na Koro Vatu, Rewa River","Thigh severely bitten, femur exposed ",N,3,South,Autumn,1900
1877.02.17.R,Reported 17-Feb-1877,1877,AUSTRALIA,Victoria,Off Melbourne,Severe bite to hand,N,2,South,Summer,1900
